Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2023-10-07 06:07:05Z : PB = 204918784 : In   : ---------------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2023-10-07 06:07:05Z : PB = 204394496 : Out  : ---------------------------- StyleCop.StyleCopCore..ctor()
2023-10-07 06:07:05Z : PB = 214290432 : Out  : ------------------------- StyleCop.StyleCopCore.Initialize()
C:\Users\orange\Desktop\class\112_1\DesignWindows\PPT\debug.log
2023-10-07 06:07:13Z : PB = 228487168 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2023-10-07 06:07:13Z : PB = 229613568 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2023-10-07 06:07:13Z : PB = 229613568 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2023-10-07 06:07:13Z : PB = 229031936 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 1])
2023-10-07 06:07:13Z : PB = 229056512 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 1], ignoreCache=True, settingsPath=<null>)
2023-10-07 06:07:14Z : PB = 231337984 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2023-10-07 06:07:14Z : PB = 231342080 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2023-10-07 06:07:14Z : PB = 231477248 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-10-07 06:07:14Z : PB = 231620608 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-10-07 06:07:14Z : PB = 233152512 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-10-07 06:07:14Z : PB = 233152512 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-10-07 06:07:14Z : PB = 233172992 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-10-07 06:07:14Z : PB = 241745920 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-10-07 06:07:14Z : PB = 241811456 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-10-07 06:07:14Z : PB = 241963008 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-10-07 06:07:14Z : PB = 241963008 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-10-07 06:07:14Z : PB = 241963008 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-10-07 06:07:14Z : PB = 240394240 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-10-07 06:07:14Z : PB = 240394240 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
